,iyear,imonth,iday,provstate,attacktype1_txt,targtype1_txt,weaptype1_txt,nwound,nkill
1186,1972,2,22,Delhi,Hijacking,Airports & Aircraft,Explosives,0.0,0.0
2764,1975,1,2,Bihar,Bombing/Explosion,Government (General),Explosives,0.0,4.0
3857,1976,5,26,Delhi,Bombing/Explosion,Airports & Aircraft,Explosives,0.0,0.0
5327,1977,9,28,Maharashtra,Hijacking,Airports & Aircraft,Firearms,0.0,0.0
7337,1979,1,13,Assam,Armed Assault,Police,Firearms,,
7342,1979,1,14,Manipur,Assassination,Government (General),Firearms,0.0,3.0
8174,1979,4,26,Manipur,Armed Assault,Police,Firearms,0.0,4.0
8685,1979,6,14,Mizoram,Assassination,Government (General),Firearms,0.0,1.0
8831,1979,7,1,Assam,Armed Assault,Government (General),Firearms,2.0,2.0
8836,1979,7,2,Mizoram,Facility/Infrastructure Attack,Police,Unknown,,
8837,1979,7,2,Mizoram,Facility/Infrastructure Attack,Telecommunication,Unknown,,
9053,1979,8,8,Andhra Pradesh,Unknown,Private Citizens & Property,Unknown,1.0,1.0
9113,1979,8,19,Unknown,Armed Assault,Police,Firearms,0.0,1.0
9116,1979,8,20,Mizoram,Armed Assault,Police,Firearms,0.0,1.0
9146,1979,8,25,Mizoram,Assassination,Government (General),Firearms,0.0,1.0
9148,1979,8,26,Jharkhand,Bombing/Explosion,Religious Figures/Institutions,Explosives,0.0,1.0
9157,1979,8,27,Delhi,Armed Assault,Government (General),Firearms,1.0,1.0
9158,1979,8,27,Delhi,Armed Assault,Police,Firearms,0.0,1.0
9166,1979,8,29,Jharkhand,Bombing/Explosion,Private Citizens & Property,Explosives,14.0,3.0
9213,1979,9,8,Tamil Nadu,Bombing/Explosion,Transportation,Explosives,0.0,3.0
9313,1979,9,22,Manipur,Armed Assault,Police,Firearms,0.0,4.0
9767,1979,12,5,Uttar Pradesh,Assassination,Government (General),Firearms,0.0,0.0
9809,1979,12,12,Manipur,Assassination,Government (General),Unknown,0.0,1.0
9878,1979,12,20,Bihar,Armed Assault,Police,Firearms,1.0,3.0
9918,1980,1,1,Manipur,Assassination,Government (General),Unknown,0.0,1.0
9964,1980,1,9,Manipur,Armed Assault,Government (General),Firearms,4.0,2.0
10484,1980,3,21,Unknown,Assassination,Educational Institution,Firearms,0.0,1.0
10491,1980,3,21,Uttar Pradesh,Armed Assault,NGO,Incendiary,3.0,4.0
10599,1980,4,4,West Bengal,Bombing/Explosion,Transportation,Explosives,6.0,2.0
10821,1980,4,25,Delhi,Assassination,Private Citizens & Property,Firearms,0.0,1.0
11722,1980,8,27,Tamil Nadu,Bombing/Explosion,Police,Explosives,0.0,6.0
12262,1980,11,8,Assam,Bombing/Explosion,Utilities,Explosives,0.0,0.0
12466,1980,12,13,Assam,Bombing/Explosion,Transportation,Explosives,0.0,0.0
12514,1980,12,19,Assam,Bombing/Explosion,Transportation,Explosives,0.0,0.0
12665,1981,1,15,Manipur,Unknown,Police,Unknown,5.0,6.0
12766,1981,1,28,Assam,Bombing/Explosion,Military,Explosives,,
12905,1981,2,13,Assam,Bombing/Explosion,Utilities,Explosives,,
13124,1981,3,18,Assam,Bombing/Explosion,Government (General),Explosives,0.0,0.0
13250,1981,4,5,Assam,Bombing/Explosion,Utilities,Explosives,,
13252,1981,4,6,Assam,Assassination,Government (General),Explosives,0.0,1.0
13375,1981,4,27,Nagaland,Assassination,Government (General),Firearms,0.0,3.0
13714,1981,6,14,Assam,Bombing/Explosion,Transportation,Explosives,,
13950,1981,7,24,Unknown,Bombing/Explosion,Transportation,Explosives,0.0,0.0
14133,1981,8,15,Manipur,Bombing/Explosion,Private Citizens & Property,Explosives,2.0,0.0
14134,1981,8,15,Assam,Bombing/Explosion,Transportation,Explosives,0.0,0.0
14280,1981,9,1,Manipur,Unknown,Government (General),Unknown,3.0,9.0
14362,1981,9,15,Gujarat,Assassination,Military,Unknown,0.0,1.0
14446,1981,9,29,Delhi,Hijacking,Airports & Aircraft,Firearms,0.0,0.0
14551,1981,10,16,Chandigarh,Assassination,Government (General),Firearms,2.0,1.0
14884,1981,11,29,Chandigarh,Bombing/Explosion,Religious Figures/Institutions,Explosives,0.0,3.0
15509,1982,2,19,Manipur,Unknown,Military,Unknown,5.0,20.0
16380,1982,6,4,West Bengal,Unknown,Violent Political Party,Unknown,2.0,6.0
16410,1982,6,9,Assam,Bombing/Explosion,Private Citizens & Property,Explosives,50.0,19.0
16435,1982,6,14,Delhi,Assassination,Government (Diplomatic),Firearms,0.0,1.0
16439,1982,6,15,Mizoram,Assassination,Government (General),Firearms,0.0,1.0
16461,1982,6,20,Mizoram,Assassination,Unknown,Firearms,0.0,4.0
16868,1982,8,20,Rajasthan,Hijacking,Airports & Aircraft,Firearms,1.0,1.0
16903,1982,8,26,Maharashtra,Assassination,Government (Diplomatic),Firearms,0.0,0.0
17125,1982,10,0,Punjab,Unknown,Government (General),Unknown,0.0,5.0
17308,1982,10,25,Manipur,Armed Assault,Police,Firearms,0.0,6.0
17321,1982,10,26,Punjab,Bombing/Explosion,Religious Figures/Institutions,Explosives,35.0,1.0
17458,1982,11,18,Delhi,Bombing/Explosion,Government (Diplomatic),Explosives,0.0,0.0
17566,1982,12,10,Maharashtra,Bombing/Explosion,Private Citizens & Property,Explosives,9.0,0.0
17987,1983,1,31,Assam,Bombing/Explosion,Transportation,Explosives,,
18021,1983,2,3,Delhi,Bombing/Explosion,Airports & Aircraft,Explosives,0.0,0.0
18022,1983,2,3,Delhi,Bombing/Explosion,Airports & Aircraft,Explosives,1.0,0.0
18077,1983,2,11,Delhi,Unknown,Government (Diplomatic),Unknown,0.0,0.0
18102,1983,2,15,Assam,Bombing/Explosion,Private Citizens & Property,Explosives,13.0,0.0
18103,1983,2,15,Assam,Assassination,Government (General),Unknown,0.0,1.0
18245,1983,3,8,Delhi,Bombing/Explosion,Private Citizens & Property,Explosives,7.0,0.0
18246,1983,3,8,Delhi,Bombing/Explosion,Transportation,Explosives,1.0,0.0
18281,1983,3,15,Assam,Bombing/Explosion,Transportation,Explosives,6.0,0.0
18282,1983,3,15,Assam,Bombing/Explosion,Private Citizens & Property,Explosives,0.0,0.0
18337,1983,3,21,Punjab,Assassination,Religious Figures/Institutions,Unknown,1.0,0.0
18338,1983,3,21,Punjab,Assassination,Private Citizens & Property,Firearms,1.0,1.0
18342,1983,3,21,Punjab,Armed Assault,Private Citizens & Property,Firearms,6.0,0.0
18414,1983,3,30,Punjab,Bombing/Explosion,Private Citizens & Property,Explosives,2.0,0.0
18415,1983,3,30,Chhattisgarh,Bombing/Explosion,Private Citizens & Property,Explosives,0.0,10.0
18416,1983,3,30,Assam,Bombing/Explosion,Private Citizens & Property,Explosives,0.0,0.0
18473,1983,4,7,Assam,Bombing/Explosion,Private Citizens & Property,Explosives,1.0,2.0
18481,1983,4,8,Assam,Bombing/Explosion,Transportation,Explosives,,
18496,1983,4,9,Uttar Pradesh,Bombing/Explosion,Private Citizens & Property,Explosives,,
18497,1983,4,9,Assam,Bombing/Explosion,Maritime,Explosives,,
18606,1983,4,25,Punjab,Assassination,Police,Firearms,0.0,2.0
19160,1983,6,26,Punjab,Assassination,Religious Figures/Institutions,Unknown,0.0,1.0
19168,1983,6,27,Punjab,Bombing/Explosion,Private Citizens & Property,Explosives,1.0,2.0
19523,1983,8,15,Punjab,Assassination,Police,Firearms,0.0,2.0
19803,1983,9,21,Punjab,Bombing/Explosion,Religious Figures/Institutions,Explosives,,
19804,1983,9,21,Punjab,Assassination,Police,Firearms,1.0,2.0
19806,1983,9,21,Punjab,Unknown,Business,Unknown,,
19807,1983,9,21,Punjab,Unknown,Business,Unknown,,
19830,1983,9,23,Punjab,Assassination,Private Citizens & Property,Firearms,0.0,1.0
19845,1983,9,26,Punjab,Assassination,Police,Firearms,0.0,3.0
19977,1983,10,13,Delhi,Bombing/Explosion,Business,Explosives,24.0,4.0
19978,1983,10,13,Delhi,Bombing/Explosion,Business,Explosives,24.0,4.0
19984,1983,10,14,Delhi,Bombing/Explosion,Transportation,Explosives,19.0,0.0
19986,1983,10,14,Punjab,Assassination,Police,Firearms,1.0,0.0
19996,1983,10,15,Chandigarh,Bombing/Explosion,Private Citizens & Property,Explosives,24.0,3.0
20032,1983,10,17,Chandigarh,Bombing/Explosion,Police,Explosives,0.0,0.0
20033,1983,10,17,Chandigarh,Bombing/Explosion,Police,Explosives,0.0,0.0
20034,1983,10,17,Assam,Bombing/Explosion,Transportation,Explosives,14.0,0.0
20035,1983,10,17,Punjab,Assassination,Private Citizens & Property,Firearms,1.0,1.0
20082,1983,10,25,Delhi,Assassination,Government (Diplomatic),Firearms,1.0,0.0
20185,1983,11,7,Assam,Bombing/Explosion,Transportation,Explosives,60.0,14.0
20191,1983,11,7,Delhi,Unknown,Airports & Aircraft,Unknown,,
20265,1983,11,15,Assam,Bombing/Explosion,Police,Explosives,6.0,1.0
20304,1983,11,18,Punjab,Hostage Taking (Kidnapping),Transportation,Firearms,0.0,4.0
20305,1983,11,19,Assam,Assassination,Government (General),Firearms,1.0,0.0
20358,1983,11,28,Punjab,Assassination,Government (General),Firearms,1.0,0.0
20512,1983,12,20,Punjab,Assassination,Private Citizens & Property,Firearms,0.0,1.0
20853,1984,2,0,Punjab,Bombing/Explosion,Private Citizens & Property,Explosives,0.0,0.0
20854,1984,2,0,Punjab,Assassination,Private Citizens & Property,Unknown,0.0,2.0
20866,1984,2,1,Tripura,Armed Assault,Military,Unknown,0.0,4.0
20924,1984,2,7,Nagaland,Assassination,Government (General),Firearms,0.0,1.0
21011,1984,2,15,Punjab,Unknown,Police,Unknown,0.0,1.0
21023,1984,2,16,Punjab,Assassination,Police,Melee,0.0,1.0
21024,1984,2,16,Punjab,Armed Assault,Police,Explosives,1.0,1.0
21055,1984,2,20,Punjab,Facility/Infrastructure Attack,Religious Figures/Institutions,Incendiary,0.0,0.0
21056,1984,2,20,Punjab,Facility/Infrastructure Attack,Religious Figures/Institutions,Incendiary,0.0,0.0
21057,1984,2,20,Punjab,Facility/Infrastructure Attack,Religious Figures/Institutions,Incendiary,0.0,0.0
21060,1984,2,21,Punjab,Bombing/Explosion,Police,Explosives,0.0,0.0
21061,1984,2,21,Punjab,Bombing/Explosion,Religious Figures/Institutions,Explosives,0.0,0.0
21100,1984,2,26,Haryana,Armed Assault,Private Citizens & Property,Firearms,1.0,3.0
21101,1984,2,26,Punjab,Armed Assault,Private Citizens & Property,Firearms,0.0,5.0
21135,1984,2,29,Punjab,Bombing/Explosion,Religious Figures/Institutions,Explosives,35.0,3.0
21317,1984,3,15,Manipur,Unknown,Military,Unknown,40.0,14.0
21423,1984,3,23,Punjab,Bombing/Explosion,Transportation,Explosives,0.0,0.0
21425,1984,3,23,Punjab,Assassination,Religious Figures/Institutions,Firearms,0.0,1.0
21436,1984,3,25,Punjab,Assassination,Private Citizens & Property,Unknown,0.0,1.0
21478,1984,3,28,Punjab,Bombing/Explosion,Police,Explosives,1.0,0.0
21483,1984,3,28,Delhi,Assassination,Government (General),Firearms,1.0,2.0
21484,1984,3,28,Punjab,Assassination,Business,Firearms,1.0,0.0
21507,1984,3,30,Punjab,Assassination,Private Citizens & Property,Firearms,0.0,4.0
21508,1984,3,30,Delhi,Assassination,Private Citizens & Property,Unknown,0.0,1.0
21509,1984,3,30,Tripura,Armed Assault,Utilities,Firearms,0.0,0.0
21528,1984,4,1,Punjab,Bombing/Explosion,Religious Figures/Institutions,Explosives,20.0,2.0
21553,1984,4,2,Punjab,Assassination,Government (General),Unknown,0.0,3.0
21566,1984,4,3,Chandigarh,Assassination,Government (General),Firearms,0.0,1.0
21574,1984,4,4,Punjab,Bombing/Explosion,Private Citizens & Property,Explosives,5.0,0.0
21591,1984,4,5,Rajasthan,Unknown,Business,Unknown,0.0,2.0
21602,1984,4,7,Punjab,Bombing/Explosion,Private Citizens & Property,Explosives,3.0,0.0
21609,1984,4,8,Punjab,Bombing/Explosion,Religious Figures/Institutions,Explosives,1.0,1.0
21610,1984,4,8,Punjab,Bombing/Explosion,Religious Figures/Institutions,Explosives,3.0,0.0
21612,1984,4,8,Punjab,Assassination,Private Citizens & Property,Firearms,0.0,1.0
21616,1984,4,8,Punjab,Facility/Infrastructure Attack,Educational Institution,Incendiary,0.0,0.0
21653,1984,4,11,Punjab,Assassination,Business,Firearms,0.0,2.0
21654,1984,4,11,Punjab,Assassination,Business,Unknown,0.0,1.0
21655,1984,4,11,Punjab,Assassination,Business,Unknown,0.0,1.0
21658,1984,4,11,Punjab,Bombing/Explosion,Religious Figures/Institutions,Explosives,0.0,0.0
21659,1984,4,11,Punjab,Armed Assault,Transportation,Incendiary,,
21660,1984,4,11,Punjab,Armed Assault,Religious Figures/Institutions,Firearms,5.0,2.0
21662,1984,4,12,Haryana,Assassination,Journalists & Media,Firearms,0.0,1.0
21673,1984,4,14,Punjab,Assassination,Terrorists/Non-State Militia,Firearms,0.0,1.0
21674,1984,4,14,Punjab,Assassination,Terrorists/Non-State Militia,Firearms,0.0,1.0
21684,1984,4,15,Punjab,Bombing/Explosion,Transportation,Firearms,0.0,0.0
21685,1984,4,15,Punjab,Bombing/Explosion,Transportation,Firearms,0.0,0.0
21686,1984,4,15,Punjab,Bombing/Explosion,Transportation,Firearms,0.0,0.0
21687,1984,4,15,Punjab,Bombing/Explosion,Transportation,Firearms,0.0,0.0
21688,1984,4,15,Punjab,Bombing/Explosion,Transportation,Firearms,0.0,0.0
21689,1984,4,15,Punjab,Bombing/Explosion,Transportation,Firearms,0.0,0.0
21690,1984,4,15,Punjab,Bombing/Explosion,Transportation,Firearms,0.0,0.0
21691,1984,4,15,Punjab,Bombing/Explosion,Transportation,Firearms,0.0,0.0
21692,1984,4,15,Punjab,Bombing/Explosion,Transportation,Firearms,0.0,0.0
21693,1984,4,15,Punjab,Bombing/Explosion,Transportation,Firearms,0.0,0.0
21694,1984,4,15,Punjab,Bombing/Explosion,Transportation,Firearms,0.0,0.0
21695,1984,4,15,Punjab,Bombing/Explosion,Transportation,Firearms,0.0,0.0
21696,1984,4,15,Punjab,Bombing/Explosion,Transportation,Firearms,0.0,0.0
21697,1984,4,15,Punjab,Bombing/Explosion,Transportation,Firearms,0.0,0.0
21698,1984,4,15,Punjab,Bombing/Explosion,Transportation,Firearms,0.0,0.0
